dataset,model,sample_id,overall_key_findings,transcript_fidelity_score,hallucinations_count,hallucinations_severity_score,critical_omissions_score,contains_highly_critical_error,hcc_compliance_ratio_percentage,hcc_pass_fail,icd_10_specificity_score,clinical_validation_score,note_structure_organization_score,safety_risk_tier_score
Experimental Dataset,OpenAI,1,"The AI draft note is well-structured and follows the standard outpatient note format with clear headings and organization. However, there are minor ambiguities regarding medication adherence and the patient's understanding of taking medications, which could lead to confusion. Overall, the note is concise and professional but requires clarification on certain points to ensure patient safety.",3,0,3,2,False,1.0,True,2,3,4,3
Experimental Dataset,Anthropic,1,"The AI draft follows a clear, well-organized outpatient note structure with all standard headings (CC, HPI, ROS, PE, Results, A&P) and uses appropriate clinical shorthand, ICD-10 coding, and problem-based organization comparable to the gold standard. Minor structural inconsistency: a physical exam finding (1+ pitting edema) is referenced parenthetically within the HPI rather than being confined to the PE section, and the Lisinopril dose increase is fully repeated verbatim under both CHF and HTN plans rather than cross-referenced as in the gold standard, creating slight redundancy that could be misread as two separate dose increases. No hallucinated diagnoses, medications, or dosages were found; all documented treatments (Lisinopril 40mg, Lasix 20mg, echocardiogram, mammogram, lipid panel) accurately match the transcript and gold standard. Overall, the note is clinically accurate and safe, with only low-level ambiguity from formatting redundancy that a clinician would easily clarify on review.",4,0,3,3,False,1.0,True,2,3,4,3
Experimental Dataset,OpenAI,2,"The AI draft note is well-structured and follows the standard outpatient note format with clear headings and organization. However, there is a minor safety risk due to the mislabeling of hypothyroidism as hyperthyroidism, which could lead to confusion in treatment. Overall, the note is concise and professional, but attention to detail is needed to ensure accuracy in clinical terminology.",4,0,3,3,False,1.0,True,3,3,4,3
Experimental Dataset,Anthropic,2,"The AI note follows proper outpatient structure (CC, HPI, ROS, PE, Results, A&P) with clear, professional formatting, but includes an unusual embedded '[CLINICIAN REVIEW FLAG]' annotation directly in the HPI narrative rather than as a separate compliance note, which disrupts standard note flow. The AI also omits the patient's statement that knee pain does not prevent ADLs (transcript/gold standard both note this), and slightly overstates severity ('severely painful' vs. transcript's more casual description). The Assessment/Plan section splits arthritis into two separate problems (acute right knee OA with specific ICD-10 M17.11, and generalized osteoarthritis M19.90) not present in the gold standard, introducing a moderate risk of diagnostic over-specification/redundancy since primary osteoarthritis was not confirmed on this visit (x-ray was unremarkable, autoimmune workup pending). No critical errors such as incorrect medication dosing, omitted allergies, or contradictory treatment plans were found; the hypothyroidism/hyperthyroidism discrepancy was correctly caught and flagged rather than propagated. Overall, the note is clinically safe and well-organized, with a low-to-moderate risk profile requiring minor clinician review of diagnostic coding and restoration of the ADL detail.",3,2,1,2,True,1.0,True,2,2,4,3
Experimental Dataset,OpenAI,3,"The AI draft note is well-structured and follows the standard outpatient note format with clear headings and organization. However, there are minor ambiguities regarding the patient's symptoms and their implications, particularly concerning the assessment of dizziness and lightheadedness, which could lead to potential safety risks if not clarified. Overall, the note is concise and professional but requires careful review to ensure patient safety.",4,0,3,3,False,1.0,True,3,3,4,3
Experimental Dataset,Anthropic,3,"The AI draft follows a clear, well-organized outpatient structure (CC, HPI, ROS, PE, Results, A&P) with appropriate use of ICD-10 codes and a logical Assessment/Treat/Monitor format, closely mirroring the gold standard's content and order (score 4/5); minor deductions are for the non-standard 'Clinician Review/Safety Flag' subsection, which, while clinically astute in noting the right-to-left pain shift versus right-sided exam findings, is not part of conventional outpatient documentation style. The most notable safety concern is a clinical discrepancy regarding nausea/vomiting: the AI note explicitly states the patient 'denies nausea or vomiting,' while the gold standard documents that he 'endorses nausea and vomiting with exertion.' The transcript itself is ambiguous on this point (patient described exertional dizziness/lightheadedness/abdominal pain without directly confirming or denying nausea/vomiting), making this an interpretive error rather than a clear hallucination, but it still represents a moderate risk of incomplete symptom capture relevant to a nephrolithiasis workup. All medications, dosages, and follow-up plans (CT abdomen/pelvis without contrast, Ultram 50mg q6h PRN, continue Imitrex, refill Protonix 40mg daily) are accurately transcribed with no dosage errors or omitted allergies. Overall, the note is safe to sign with minor clarification needed on the nausea/vomiting symptom status.",2,2,1,3,True,1.0,True,2,3,4,2
Experimental Dataset,OpenAI,4,"The AI draft note is well-structured and follows the standard outpatient note format with clear headings and organization. However, there are minor ambiguities regarding the patient's blood sugar monitoring consistency that could lead to misunderstandings. Overall, the note is professional and concise, but the safety risk tier is low due to potential misinterpretation of the patient's diabetes management.",4,0,3,3,False,1.0,True,2,3,4,3
Experimental Dataset,Anthropic,4,"The AI draft note follows a clear, well-organized outpatient structure (CC, HPI, ROS, PE, Results, A/P) with logical flow and appropriate headings, closely mirroring and in some ways exceeding the Gold Standard's organization (e.g., separate ROS and Results sections). Minor styling additions (ICD-10 codes, a clinician-review flag for neurological findings) are clinically useful but slightly deviate from the Gold Standard's more concise style. Safety-wise, no critical hallucinations or dosage errors were found; medication changes (meloxicam, metformin increase, lisinopril refill) and follow-up plans align with the transcript and Gold Standard. However, minor unverified inferences exist, such as 'Denies lower extremity swelling' (not explicitly stated in the transcript, only weight gain was discussed) and 're-educated on diabetic diet' (not directly confirmed by the physician), which represent low-risk ambiguities rather than critical safety concerns. Overall, the note is professional, accurate, and clinically safe, with only minor documentation inferences that a reviewing clinician could easily clarify.",3,2,2,2,False,1.0,True,2,3,4,3
Experimental Dataset,OpenAI,5,"The AI draft note is well-structured and organized, closely following the standard outpatient note format with clear headings and sections. However, there is a critical safety risk regarding the potential interaction between Tramadol and Digoxin, which was not adequately addressed in the assessment and plan. This could lead to patient harm if not clarified.",4,0,3,3,False,1.0,True,2,3,4,4
Experimental Dataset,Anthropic,5,"The AI note follows a clear, well-organized outpatient structure (CC, HPI, ROS, PE, Results, A&P) with appropriate headings and logical flow, exceeding the brevity of the gold standard while remaining accurate to the transcript; minor deduction for lack of distinct 'Current Medications'/'PMH' headers and an added ROS section not present in the gold standard, though these do not misplace information. Clinically, the note is largely safe and consistent with the transcript—correctly documenting the tramadol dosing/dispense quantity, splint application, 2-week follow-up, and appropriate digoxin-tramadol interaction check. However, the AI omits the qualifier 'comminuted' from the distal phalanx fracture description present in the gold standard's radiology read, understating fracture severity; this is a low-risk discrepancy since it does not alter the documented treatment plan but could cause minor confusion on sign-off if the reviewing clinician expects the more detailed fracture characterization. No critical hallucinations, dosage errors, or omitted allergies/contraindications were identified.",3,2,2,3,False,1.0,True,2,3,4,3
